feature,class
"-392.23346,120.1384,3.237502,19.5235,-14.634203,11.656198,-3.9888659,17.165375,-9.454244,4.4943504,-8.385004,14.615997,1.3450722,12.935224,0.15042421,9.1798315,1.3172616,11.100326,1.5214282,4.633581,-2.0498035,9.47666,1.7957927,3.0509353,-0.7599569,2.008027,0.14610676,2.7205634,2.4467523,3.5245593,5.178706,7.2825584,5.7465925,4.0188823,4.9887834,1.4148521,2.3968327,-1.2032834,2.7758255,2.3108716",Passenger
"-359.32925,76.17383,-13.429949,21.687233,14.652077,25.404242,-6.008164,22.170778,-12.527293,8.352274,-13.672301,17.669529,-6.1767063,10.11344,-12.61337,12.481133,-7.0985184,14.918935,-6.679951,11.626621,-4.613771,11.227005,-3.758516,6.5931916,-1.9123628,2.9886918,-2.4940825,6.1633105,-0.31955573,5.448953,1.0664269,3.914304,1.7044032,6.9291587,3.01423,6.54971,2.5872061,5.5841236,2.8707404,4.4884896",Passenger
"-420.71506,107.043755,0.7612995,20.602396,-10.785292,19.502272,4.2045317,22.441547,-1.9797881,14.095534,-1.4803097,20.738873,0.88107866,15.148388,-2.3332465,11.5040865,-2.0649319,11.396367,1.0922697,6.615929,-1.5288012,10.081066,-0.38254663,6.1579747,-0.5365572,4.852478,-0.8876305,4.282278,0.57669383,3.440528,0.18187337,3.0050402,0.8078718,1.4774133,1.2963177,2.1891813,0.734738,-0.39884612,2.1488202,0.5143614",Passenger
"-460.37366,120.985565,10.622618,22.231663,-7.2213454,13.23176,0.53202075,14.404031,-4.5786176,8.685688,-3.7775571,12.327722,-0.3913976,9.49807,-3.451817,9.23293,-1.7111194,7.8752007,0.4898407,6.9214277,0.031465583,8.356342,0.5641174,4.980642,1.8309245,6.313606,2.4671576,4.3283043,1.9373726,3.764216,1.1785805,1.6792264,0.81462973,2.1516695,2.8234246,3.3523586,3.685473,2.8519082,4.484324,3.7849557",Passenger
"-408.57657,104.08962,2.779357,23.25508,-7.795589,23.835905,7.1157155,16.840826,-8.223711,11.122787,-0.61284965,20.846,-6.128594,12.749017,1.8890835,14.43505,-1.2015003,11.512807,-0.66595083,12.224755,-2.0716841,10.2054,-2.5098996,6.4775133,-1.9314708,6.334453,-2.8820891,6.687614,1.547308,5.530539,-0.29872406,5.3320274,-0.6314455,3.1982818,0.2557003,0.6768967,-1.4366254,-0.8238072,-0.576931,0.19456367",Passenger
"-396.6597,93.75094,5.1510406,25.843885,-7.8511395,18.351078,-3.6200023,22.748547,-6.1402273,11.852381,-3.403217,16.676493,-2.0930216,14.27502,-6.726928,10.454067,-3.8702443,12.430518,-0.27208135,8.216411,-4.152794,10.107468,-1.32958,7.272361,0.25721565,5.650088,-0.46409854,5.350438,1.153493,4.422759,-0.26006448,3.5578852,0.904529,3.4874833,1.7005875,4.3929896,0.9138137,2.2823377,2.1802204,2.8418202",Passenger
"-343.2616,93.45296,2.1886864,18.809568,-19.857117,8.426116,1.0857713,23.511925,0.29545036,16.797169,-9.679968,20.506186,-1.3207333,14.158243,-3.0046818,13.501518,-2.9547148,13.198202,-0.29173914,11.820965,-5.8194017,9.560668,-0.6899914,6.5322285,-2.1548936,4.694144,-0.36810592,6.8109875,1.8490477,8.466845,-0.6367765,3.8220086,-0.60628366,3.3916528,-0.51460207,0.7442046,0.4436122,0.55589974,1.8594668,3.0779934",Passenger
"-401.59137,98.2724,4.196685,30.105127,-8.280908,18.422382,-2.2590063,21.097662,-2.3308678,12.4024935,-3.5710025,19.502075,-0.48935288,15.420892,-0.77703464,15.775859,0.0639813,14.295062,-0.8117363,8.836026,-4.2381897,9.785919,-0.9087811,6.9731965,-0.1709799,5.3806963,-1.5943086,3.7106016,0.8786822,3.4829385,-0.20436908,3.0501726,0.39710242,1.740162,-0.30221403,1.4538491,-0.108153045,-0.26042783,1.5720139,0.30468866",Passenger
"-434.17645,99.72893,-6.304875,14.468447,-15.440463,33.472313,16.42103,16.705353,-2.5553076,17.969067,-0.8761634,20.63149,5.9344454,13.107412,-3.4192984,16.802174,-4.734249,12.646421,4.2371755,4.998831,-4.274424,8.559322,1.8680568,3.2647262,-0.7595122,3.788076,2.3858597,1.8779246,-1.5162622,-1.4142458,0.23347402,4.8936496,1.2126325,2.201817,-1.4605854,1.5096877,-0.9528019,0.14903298,1.7910724,1.2382528",Passenger
"-448.4454,99.8324,-11.523139,17.31881,-4.246299,25.823944,5.8308883,25.849752,-7.285084,11.251732,-1.6472405,13.025521,2.3737292,9.959626,-4.0295362,9.675237,-2.038784,8.969574,0.02360607,5.939094,-0.15276459,9.503798,0.38792223,8.694526,0.631488,4.996724,3.1284776,4.080799,2.8842473,5.1297607,2.4306293,3.5237968,2.4657369,2.8486185,3.0676796,3.318758,2.601159,2.2610173,2.8658419,3.3201354",Passenger
"-446.54922,100.41846,-5.58714,22.398138,-11.709721,17.751871,9.70696,31.501457,-0.17433688,2.0095754,-15.037274,10.231889,-2.9595125,10.602876,-2.9740052,10.3704605,-1.4832015,4.732978,-3.8205547,8.606602,1.7589561,8.710182,1.2117716,6.557431,0.5796884,7.0466733,3.4002106,5.1210394,2.4669447,3.4945924,2.600709,4.961911,2.788719,3.8677497,4.4068975,4.2395654,5.249565,3.8554506,4.696759,3.6970756",Passenger
"-250.57545,62.77453,-2.7872581,28.1041,7.654377,20.324398,-3.1909385,19.408327,0.40824795,18.62965,-8.992066,16.26317,-7.0807843,6.142483,-5.408453,15.681981,-6.6926436,7.0243454,-9.951289,6.210788,-3.3988798,11.396478,-3.889289,2.310806,-5.6772604,6.81758,0.009768681,5.0243673,-4.0834775,1.6408637,-3.459995,5.0434613,-0.7111889,1.9589756,-2.9625885,3.1772206,0.8271557,4.244513,-1.1535319,1.585952",Passenger
"-517.0999,99.89263,-3.9308815,15.830015,5.7897696,13.006835,-3.5527334,7.483912,0.8186577,11.849139,6.177182,16.911488,2.549995,6.5666556,-0.12166647,6.4007697,-0.1612949,2.8170042,-0.29774445,4.753194,0.87848866,4.713021,3.1689322,7.2141495,4.61994,2.1617987,2.4129822,1.4812162,2.695409,3.9324806,5.260745,3.2143145,5.5251765,5.9507113,6.990337,4.8947206,5.217767,0.5650349,4.948381,3.432809",Passenger
"-507.30072,94.57526,-6.198551,14.350388,-0.37355018,9.954377,-0.44281352,13.2855,2.7131648,13.337083,4.101952,14.811008,4.866753,10.100397,3.1756876,10.316648,2.9456596,8.978579,2.9529877,4.5071254,0.8678678,5.83033,2.6562207,4.5164084,0.3282506,2.0984783,4.9737387,3.997153,5.139648,3.5643787,2.7720008,3.1074433,4.191465,2.8780627,3.9902272,2.5319614,3.457025,1.9256494,5.1888905,3.7569475",Passenger
"-377.13843,82.47437,-7.206395,25.73935,-10.143369,21.261137,1.8838083,21.943714,-5.3269415,13.796436,-5.1485076,19.601614,-1.8299279,16.824318,-3.8368118,13.645326,-2.4590847,13.251216,-2.337831,7.4993477,-4.4115868,10.420897,-3.596633,8.291109,-2.2011242,5.6288314,-2.5073047,5.005538,-0.04557787,5.6726375,-1.4922851,4.2160034,-0.76090324,2.43503,0.08967956,2.54157,-1.4444752,-0.29009643,0.96805346,0.80625695",Passenger
"-361.84808,119.43796,-0.8004875,33.76928,-2.456433,18.60383,-1.9147388,17.487986,-6.441104,6.193815,-10.850011,16.22557,-4.3344884,11.979214,0.22710432,13.036965,-2.634669,8.599766,-7.530256,1.9820437,-10.3345175,7.327236,-3.430477,8.004097,1.6932864,9.58523,2.50709,7.047666,2.3970222,2.994798,-1.1657826,1.6091555,1.043475,1.2337604,2.1983533,3.1079783,3.2415946,0.6083714,2.0394375,0.7159414",Passenger
"-438.898,110.72379,-4.8854547,26.792362,-1.2863544,17.98247,-1.4012375,14.424795,-3.5148463,8.159694,-6.0728545,12.828446,-0.6826135,10.285927,0.9177244,11.190833,-0.7816671,4.7099404,-4.8358946,2.4498756,-2.2016141,6.795147,-0.7231873,5.597041,2.853601,6.4788,4.7548995,5.30492,4.2987623,3.709202,0.94565094,3.1084228,1.7673209,2.5486305,4.1512923,4.0725527,4.1603384,0.89047855,3.9737282,2.6820502",Passenger
"-364.97083,80.1692,3.682705,32.25841,-5.7118583,14.096133,-11.073514,16.861189,-0.42245904,15.36795,-7.6348734,17.465153,-5.0022383,13.668489,-0.84935427,15.181861,-1.1627182,10.730727,-3.1089299,11.637878,-2.0317526,12.189515,-3.5998542,7.2381215,-2.8240976,6.9178133,-0.031018002,4.0226965,-0.17251937,4.3850746,2.9060197,5.020466,2.9217577,3.2038078,2.4153357,3.415755,3.6661248,2.4790506,2.715039,2.4906933",Passenger
"-404.63693,99.44168,-6.6831784,29.066685,-0.08757958,21.651562,-2.8949783,20.839489,0.4626036,12.719851,-8.248844,15.882173,-0.9947239,13.800786,-3.6665196,12.890157,0.41227502,13.079934,0.1155768,8.259794,-0.99526894,9.766163,-1.1713419,6.908594,-0.601284,4.601041,-1.9638038,4.5110087,0.697184,5.480225,0.2354256,5.5315456,2.241672,3.6635952,1.7086585,3.0387263,0.45428112,1.1618059,1.6311578,1.3350025",Passenger
"-417.8127,84.10387,-6.432739,35.066956,-3.6497629,14.107254,3.903652,23.418592,-9.43889,14.761398,-1.1193805,23.462465,-1.9847413,12.552946,-1.7386,9.8128,-0.6909372,12.140647,-1.3853372,7.860085,-3.781187,14.138919,-2.4578571,9.003632,-1.3200719,5.1158924,-0.8402765,7.913976,3.4724073,9.031173,0.049995776,5.5907116,1.653974,2.635807,2.571045,3.247518,2.8528967,0.17846422,4.6221395,0.5740307",Passenger
"-356.89212,97.20378,-10.164883,23.100788,-9.571406,24.681238,2.5448577,22.848299,-5.0085816,11.45178,-5.759458,17.13353,-0.9112753,15.110565,-4.877683,13.196244,-2.4166484,14.785968,-2.865185,6.993899,-3.6415036,9.750392,-1.6241783,8.045341,-1.333081,4.745895,-0.07584008,6.0599117,1.106915,5.1728063,-0.2137246,4.219742,0.57062244,3.389892,0.86614335,3.1708856,0.0694095,2.9817035,1.5200127,2.0609872",Passenger
"-436.60968,128.8094,22.710539,22.330906,-12.018792,9.695096,-0.45253378,17.336239,-5.743074,8.48976,-8.865382,12.988699,-0.22665401,5.4240813,-5.7259755,11.27718,0.056843683,12.586319,2.549104,8.666373,-3.6780334,6.178876,1.075529,6.1190915,-1.7630771,5.082198,-0.8269045,5.5518565,0.46069327,6.9371004,0.32028207,2.3603592,-1.1181955,2.399867,0.67593646,2.962185,2.0742884,1.9130453,3.3558118,3.2231574",Passenger
"-321.15588,79.30352,3.7627652,29.519785,-0.9968415,18.378643,-2.2768385,20.712435,-7.073923,12.887776,-6.1520123,20.747807,-0.09412764,13.545532,-4.788349,13.2121315,-3.658149,15.325192,-6.7008133,10.505031,-6.4632363,8.860108,-1.968823,6.094722,-3.5220942,8.162521,1.9399346,4.820389,1.6721314,6.3772774,-0.36451927,4.8125997,0.5772154,1.8825266,-2.1604738,6.0182915,0.272318,3.0645285,0.30563414,3.0292206",Passenger
"-442.5027,101.54376,-12.971224,25.800125,-6.1564455,16.58872,2.127048,24.26503,-3.5100582,6.7509184,0.43940705,17.674227,0.29660898,15.325862,-1.4511203,9.515166,-3.2504544,6.8983626,4.2759137,8.081672,1.8049394,9.15916,1.132797,10.281039,2.5773208,5.092733,0.42838463,3.297125,4.2111754,7.0058465,2.362406,5.957612,0.77346545,4.0507913,2.6647556,2.96898,0.36664394,2.410848,3.890758,0.9221026",Passenger
"-477.38318,105.76998,-1.4450265,33.851135,4.335879,19.742067,1.5216578,20.211838,-1.8533021,10.233068,-0.08233262,16.779718,1.0454519,14.431219,0.89816767,10.381842,0.84208333,11.642772,3.0729327,6.713642,-0.91390485,8.786771,1.412966,5.718165,1.7992173,5.2120414,1.819012,4.3767657,2.3373184,1.9055295,-0.022603948,2.1816084,1.8858291,1.4667182,2.1434355,1.9492422,2.0085309,0.09951811,2.967149,-0.10631193",Passenger
"-393.14862,106.44752,-0.78348464,21.515793,-14.754233,13.722159,5.112834,26.3836,-8.58722,4.342724,-8.7482815,17.459223,-2.515223,12.166101,-3.2333467,8.927681,-2.4636445,10.328405,-0.6358728,6.6787148,-3.730438,9.832722,1.173668,7.665844,3.1301315,7.8599305,0.54254067,7.2696543,1.7824367,6.2581487,-0.39931655,5.0799,0.9318942,4.2634344,2.9441783,4.3794336,1.9242363,3.3124914,4.848092,3.272215",Passenger
"-385.0543,96.626434,1.8848612,27.955904,-7.899086,15.328417,0.17231122,22.996151,-8.414773,11.578057,-5.930758,15.741182,0.63544905,15.232576,-3.584825,12.079666,-2.6438227,14.565335,-0.4833192,7.9740305,-3.6012447,10.278546,-2.0193157,8.283203,-1.2173955,6.5185766,-0.1730252,6.3602433,0.9149252,5.6621275,0.6425156,5.6616564,1.5887642,4.3343196,2.421541,4.3275776,0.52964604,1.8737314,1.9891088,1.5562756",Passenger
"-362.45435,115.43538,-0.93332374,29.553955,-8.098948,18.709263,-7.745977,15.067865,-7.8486896,6.482548,-8.998714,12.922729,-7.250391,12.566349,-9.272211,10.646069,-3.7774212,9.639699,-3.5304027,5.356487,-4.612856,10.064134,0.7424219,8.374628,-1.2758672,4.6290092,-2.751096,3.2862504,-0.13979518,4.9716635,1.1781687,4.209614,-0.23990844,3.383044,1.1718944,3.9364166,1.4267657,1.8219055,2.516657,0.7221023",Passenger
"-362.45435,115.43538,-0.93332374,29.553955,-8.098948,18.709263,-7.745977,15.067865,-7.8486896,6.482548,-8.998714,12.922729,-7.250391,12.566349,-9.272211,10.646069,-3.7774212,9.639699,-3.5304027,5.356487,-4.612856,10.064134,0.7424219,8.374628,-1.2758672,4.6290092,-2.751096,3.2862504,-0.13979518,4.9716635,1.1781687,4.209614,-0.23990844,3.383044,1.1718944,3.9364166,1.4267657,1.8219055,2.516657,0.7221023",Passenger
"-356.22812,125.07113,0.8328554,33.121357,-7.4938593,16.206823,-7.38351,12.0079565,-6.234159,5.432138,-10.214231,15.176938,-9.853714,12.170659,-8.781923,9.005243,-3.1773567,8.620435,-2.2142346,5.1435003,-3.5508976,9.500497,0.83818024,7.6941724,-2.5398154,4.1157026,-4.012988,2.6677134,0.11058132,5.138175,1.4117837,4.562916,-0.66992843,2.628573,0.8845996,3.859311,1.6222657,1.5862895,2.727067,1.0832669",Passenger
"-376.11536,86.428696,-0.4298666,26.188406,-10.020775,17.007141,-0.17092153,21.929153,-8.139009,11.329309,-5.433295,19.158443,-2.1811924,18.215921,-3.5255373,15.182983,-0.7668496,14.453051,-1.1255842,7.773933,-3.0386252,8.997136,-3.1840072,8.363655,-0.97648495,5.735859,-0.3146393,5.386311,1.4383171,6.1261964,1.4266808,7.3793993,1.9072335,5.7502675,1.7286421,3.951903,-0.91928136,2.1804838,0.6309189,0.8401977",Passenger
"-403.71307,93.642426,-7.448271,19.015179,-14.9618025,16.72391,1.0453396,19.909933,-5.4417114,12.4656725,-0.7850808,19.310997,-0.013836593,14.552475,-6.8024273,12.714689,-2.301334,13.574657,0.3808324,8.594151,-0.13916542,9.502835,-0.36382625,8.32651,1.1351694,6.4812226,-0.5066881,7.0899973,2.3332632,5.9992743,-0.21070997,4.99822,0.17116943,4.0969296,2.18269,4.221838,0.4358379,3.3780825,3.3083389,2.7557616",Passenger
"-357.45447,84.39581,7.9158754,30.099335,2.00476,18.206402,3.3442595,19.927797,-1.4874358,12.286287,-6.2124157,15.605577,1.8488189,11.836648,-2.5726774,11.184549,-2.4684758,11.446193,-0.59894156,7.133544,-3.527053,7.8315525,-0.39595982,6.211732,0.36054713,5.511607,0.037435945,4.8466625,1.2106586,4.900132,0.7467449,3.6865258,1.0062994,2.2355893,1.5339019,3.3599539,1.8779929,1.2796297,1.9416282,2.4223275",Passenger
"-429.05576,134.59883,3.600858,15.538505,-14.374089,13.874112,7.966401,29.212996,-9.8549595,-2.9670382,-14.20918,14.625719,1.4146715,13.536798,-0.95496035,3.8383605,-9.135841,9.047793,0.36028677,1.3081893,-4.229376,5.228424,-2.1124706,6.356738,3.3593414,6.127982,3.2139702,3.4937918,1.5343345,2.665592,-0.20548853,1.76445,1.5892423,5.0592475,4.78303,3.4871392,3.6080675,3.1519966,5.7878575,2.1666565",Passenger
"-335.5526,90.70274,-7.272982,18.45064,-14.733072,21.8244,1.8522208,22.361109,-8.102848,13.287133,-6.074204,18.074661,-4.661444,14.156822,-7.229249,13.270922,-5.574038,14.955877,-3.590621,8.198026,-4.2262793,9.892455,-2.8660607,7.908797,-1.5597262,6.688196,-2.326079,6.243699,-0.97305256,5.6707077,-1.9827783,4.0107956,-1.4505526,4.196922,0.91880155,3.9930472,-1.2272071,2.5130386,1.2048234,2.6815",Passenger
"-404.41376,97.70797,-5.0111356,23.985369,-10.836777,17.650726,1.707126,19.768618,-6.503893,10.624195,-2.9896185,17.365456,-2.222093,15.753179,-3.5186927,13.806358,0.7631446,14.364366,-0.5879542,7.313897,-2.8853874,8.049836,-1.3269686,8.466212,0.058126878,6.9132094,0.12746927,5.699713,1.4993062,4.376428,2.0125887,5.3853498,3.18798,6.155213,3.9687924,4.017249,-0.5726973,2.9090586,1.9350489,2.0377846",Passenger
"-409.17377,100.5197,-6.539508,26.787699,-8.272145,23.238253,10.652534,28.872396,-4.2565365,7.6531587,-7.6002274,15.3668165,-2.2744458,12.62029,-4.9714475,9.638929,-4.162545,10.740043,-2.2418728,5.1905,-3.8630955,7.281671,-1.6343471,5.824591,0.03984796,4.314623,-0.805184,4.72906,1.0712944,4.0414324,0.048545144,3.5849092,1.5860852,4.335463,2.8104708,3.7775729,1.7758969,2.4725595,3.3720708,3.0722685",Passenger
"-332.94388,88.27058,4.0963616,29.970177,-2.070179,16.567656,-2.8774421,22.452255,-5.112048,12.941174,-7.118184,17.391817,-0.64773387,13.578395,-4.722166,12.819522,-1.9458369,14.504673,-3.2774098,8.427966,-5.0654373,9.049354,-3.2595358,7.287804,-1.465805,6.498971,-0.031588577,5.275257,0.48888856,5.938059,1.1575586,4.999115,0.61427206,3.0326269,0.7792254,3.3935387,-0.06912298,1.4219925,1.0060471,1.781141",Passenger
"-346.38315,89.50768,11.020022,30.938171,0.8150076,18.256887,-1.9955269,18.282007,-3.5747204,10.875925,-7.3335366,16.939276,0.64846265,13.971907,-1.7199764,13.45671,-1.2792296,14.930659,0.18274772,8.095043,-5.27823,7.941327,-2.4144068,5.448643,-0.6431677,4.8837843,-0.86614215,4.182467,0.7372,5.402058,1.4749569,5.7043858,2.0208178,3.9691308,1.170835,3.0655024,0.3910288,0.5531505,0.1503983,0.8857903",Passenger
"-365.74982,94.44613,12.002632,31.555101,-7.653749,15.591175,-3.29641,17.722631,-11.016898,9.38623,-6.386789,20.075748,-0.54271364,16.381641,-3.0215971,13.963404,-2.1955435,14.419093,-1.470318,8.37702,-5.4407687,10.2277565,-3.5863624,8.708691,-0.42682272,7.951465,-1.1059347,7.416794,0.86454654,7.3089933,0.3316171,5.5023637,-0.66618913,4.0428934,1.32358,4.04215,-0.0037726476,1.7578388,1.3364726,1.8668292",Passenger
"-386.88193,96.404205,14.956562,32.947483,-2.6064959,16.794697,-1.3079183,20.320879,-6.491913,9.591996,-8.716567,14.828031,-0.7911803,13.068565,-5.281093,9.4961405,-4.374005,12.6492405,0.42943057,10.415953,-2.9227993,9.105601,-2.0857754,6.8403993,0.0164042,6.2011833,-0.42884472,2.845609,-1.5135858,3.1070206,-0.45541573,3.8141463,0.36101553,2.950323,1.4912002,4.394057,2.0843258,3.4700608,2.6735604,3.0896072",Passenger
"-359.4756,105.54834,2.6916482,29.236935,0.3232313,15.467353,-0.5741965,17.464087,-3.1929557,6.29322,-7.4485927,11.890939,-0.95108414,10.508234,-2.0809011,9.134884,-1.3113762,10.903709,2.097776,6.72546,-1.9296298,7.09423,-1.2328333,3.4602993,0.40924284,3.841108,-0.0018811566,2.3531365,1.3538295,2.9934433,1.368498,3.1894155,2.0582032,2.3807154,2.9544542,3.3848186,2.206447,0.67720383,3.2239296,1.9037019",Passenger
"-377.09808,96.148094,5.665092,27.096806,-9.622348,15.46779,-2.5095677,14.4893675,-13.550621,5.831469,-10.671728,16.009434,-4.6319046,12.26415,-7.226556,10.116591,-6.083663,10.905269,-2.0481594,5.3128633,-5.785873,8.849997,-1.6143914,8.142449,-0.029326923,6.944942,-0.8584951,6.1297565,0.7112075,5.2789097,-0.39968312,4.960804,0.22892463,3.806408,1.9433666,5.894479,1.3502873,3.2321787,4.2862344,4.3716965",Passenger
"-324.64883,98.537636,-3.2839305,20.86596,-9.63628,15.985113,-1.8279555,20.312654,-1.9677852,11.805516,-6.652242,10.120299,-5.4462256,9.333043,-4.457189,7.394285,-6.001481,6.129585,-3.9140909,3.192701,-6.1123853,4.2087803,-2.9352233,3.4671185,-1.8634226,0.93952805,-3.8468394,0.43697482,-1.0874301,3.254437,2.077914,5.0014634,2.316163,2.9328947,1.1681824,1.9224564,0.033345036,0.39897212,2.8671343,2.8309562",Passenger
"-324.64883,98.537636,-3.2839305,20.86596,-9.63628,15.985113,-1.8279555,20.312654,-1.9677852,11.805516,-6.652242,10.120299,-5.4462256,9.333043,-4.457189,7.394285,-6.001481,6.129585,-3.9140909,3.192701,-6.1123853,4.2087803,-2.9352233,3.4671185,-1.8634226,0.93952805,-3.8468394,0.43697482,-1.0874301,3.254437,2.077914,5.0014634,2.316163,2.9328947,1.1681824,1.9224564,0.033345036,0.39897212,2.8671343,2.8309562",Passenger
"-383.65775,105.7657,-10.136033,29.279064,-8.014268,20.796518,-4.6810684,17.872746,-5.2022457,12.251134,-3.5385923,14.732423,-1.8051246,13.46808,-4.222471,9.691269,-2.171214,11.819746,-0.21933126,5.1878943,-4.811352,7.4083962,-0.37060648,7.933592,1.7566395,5.9740953,0.1828301,5.1594777,1.9228885,3.7581227,0.6819603,2.9632478,0.9227396,3.1187866,2.6952322,3.6627882,2.3535812,3.524051,3.812068,2.8028362",Passenger
"-399.54715,107.410515,4.268201,22.754541,-8.757577,14.856587,-0.3182694,17.000563,-1.9318278,10.291575,-4.870775,11.805915,-2.2813807,9.032242,-3.5508065,7.3621354,-3.0376408,8.806171,-0.39214137,4.6219945,-3.5743773,5.5400505,-0.90171444,5.412252,0.88984483,3.0102153,-1.1732816,1.9029472,1.323482,3.8232734,1.9352185,3.3959374,1.832267,3.120566,3.543478,3.9575672,2.0039346,0.83732826,2.6663623,2.6486504",Passenger
"-286.92722,96.28136,15.236602,36.58242,-5.23955,14.918342,-6.620924,17.327621,-11.494384,6.9918184,-15.06214,13.229143,-5.782237,12.010737,-6.0984445,10.54001,-7.1368794,12.473486,-3.34142,7.5901685,-7.284756,7.4700475,-4.673986,5.609273,-3.5773454,4.222019,-4.4990463,2.2413926,-3.0315013,5.1451883,-2.683969,3.9385188,-1.3921921,3.848398,0.1857672,5.7883496,-0.6100435,2.5071335,0.090887144,3.2673507",Passenger
"-363.7048,93.74848,10.125317,33.255684,7.5647864,13.303827,3.7486486,16.77238,5.413838,12.037913,7.5383577,15.635481,8.33893,10.301174,-0.19531688,5.500103,3.0874755,7.9491043,5.9834642,4.38819,1.6664321,5.1594443,3.1676974,3.8144321,2.9553587,0.19878078,1.1042664,1.9331074,2.4895706,0.48063383,1.1112106,0.57368696,1.5726144,1.2822152,2.1433866,0.39207646,-0.46552548,-0.42852506,1.9025289,0.2668812",Passenger
"-440.99777,95.64498,-11.63893,31.270056,-8.373323,10.1858,-6.148664,14.4776535,-11.61934,2.7601235,-7.901432,12.916803,-3.597972,13.481262,-1.7343957,12.583492,2.666638,10.6287,-0.77890897,3.8227258,-7.1995125,5.7774143,-0.7016876,7.541934,3.3589408,6.97089,2.5801494,6.5426145,3.9757335,4.25276,1.344138,3.1848514,1.9523538,3.1603973,5.5104566,6.119351,4.6465907,2.9004922,4.824409,3.1729934",Passenger
"-440.99777,95.64498,-11.63893,31.270056,-8.373323,10.1858,-6.148664,14.4776535,-11.61934,2.7601235,-7.901432,12.916803,-3.597972,13.481262,-1.7343957,12.583492,2.666638,10.6287,-0.77890897,3.8227258,-7.1995125,5.7774143,-0.7016876,7.541934,3.3589408,6.97089,2.5801494,6.5426145,3.9757335,4.25276,1.344138,3.1848514,1.9523538,3.1603973,5.5104566,6.119351,4.6465907,2.9004922,4.824409,3.1729934",Passenger
"-320.22623,110.23212,8.182958,27.431276,-7.760365,13.91071,-8.556549,14.65338,-9.237232,4.789064,-11.505033,13.35843,-6.12562,14.202737,-1.6643387,13.03359,1.8024222,14.954335,2.1015515,7.939119,-3.5881448,9.23669,-3.2888083,6.102364,-3.6437056,2.3878214,-5.87145,2.5268931,-0.99423057,3.971873,1.2587014,5.79791,3.307577,7.3806233,6.175272,7.243972,3.7489989,2.4148407,3.2993498,0.31145093",Passenger
"-401.02286,104.480385,-6.6125402,25.677792,-7.4089017,16.772755,-11.610628,22.03184,-8.3870325,11.266084,-6.783208,11.96838,-5.6783943,9.140577,-5.0920134,7.201348,-4.4388347,11.693461,-1.1341733,4.3107553,-3.8410609,9.923168,0.42948362,7.140639,1.545488,4.353391,-0.79978997,4.393231,1.8666351,5.2183447,1.2870735,3.0701964,1.8922343,4.2174134,3.2581785,4.4154544,1.3927021,1.5759436,3.2655017,2.457573",Passenger
"-379.3108,104.21917,7.729584,28.548605,-15.66412,13.493629,-3.0242615,17.935509,-8.829835,9.199254,-5.8660994,16.995514,-1.9604948,15.530375,-3.4872456,12.229901,-2.5287008,13.298779,-0.60583425,7.0784097,-2.716598,7.009076,-1.3410025,6.828607,1.5555664,5.3071346,0.047508564,6.4500833,2.3676245,7.113124,1.38089,5.3029757,0.7149739,4.957489,2.6707432,4.3451777,-1.0932955,1.5504093,1.322114,2.4907694",Passenger
"-349.5702,108.25701,12.117188,31.37002,-7.5150723,12.8752165,-8.953244,14.89384,-7.9868116,9.216326,-11.215758,18.91139,-2.26208,13.854708,-5.6579494,8.612865,-8.639404,8.80381,-5.2628217,6.1297197,-6.983176,10.944556,-0.5297742,9.896965,2.2983227,6.7472496,-2.3657522,2.9996262,-0.53004146,3.908955,-1.9220304,3.3883796,-0.6252966,3.4121945,1.9592248,4.5364046,-0.4621382,-0.29152504,0.517584,2.0869946",Passenger
"-293.73538,124.50579,9.74325,30.99762,-1.5921998,17.128824,-7.7967534,23.07575,-10.3317995,10.37776,-14.3320265,13.357193,-8.358928,7.048007,-7.630954,6.1443725,-9.307744,10.645149,-4.142312,6.464753,-7.310837,7.3353486,-3.5229719,4.4585958,-2.2814174,3.0238686,-4.309842,3.748482,-0.41992053,3.9146125,-1.0500485,4.1521144,-0.5512949,2.7694523,-0.5945955,2.4942634,-2.310137,-0.8152857,1.1539698,3.28137",Passenger
"-293.73538,124.50579,9.74325,30.99762,-1.5921998,17.128824,-7.7967534,23.07575,-10.3317995,10.37776,-14.3320265,13.357193,-8.358928,7.048007,-7.630954,6.1443725,-9.307744,10.645149,-4.142312,6.464753,-7.310837,7.3353486,-3.5229719,4.4585958,-2.2814174,3.0238686,-4.309842,3.748482,-0.41992053,3.9146125,-1.0500485,4.1521144,-0.5512949,2.7694523,-0.5945955,2.4942634,-2.310137,-0.8152857,1.1539698,3.28137",Passenger
"-425.78058,102.66394,4.6910105,23.002172,-12.527549,19.347864,4.641189,24.139858,0.72315884,16.656294,1.0123504,20.654808,3.6958432,15.637928,-2.8343494,11.504493,-1.8982351,12.164031,1.0090351,7.8879833,-0.35082442,8.009114,-0.08131757,5.6655593,-0.6177002,2.7590635,-2.3400881,2.7290418,-0.7604974,2.6368544,-0.5844478,1.5437622,-0.64312637,1.4134815,0.798534,0.86720484,-0.75013965,-0.28261727,1.4090858,0.65938544",Passenger
